value,report_period_begin,region_name,report_period_end
71,2020-01-01,Астраханская область,2020-04-01
74,2020-01-01,Амурская область,2020-04-01
92,2020-01-01,Ивановская область,2020-04-01
32,2020-01-01,Калининградская область,2020-04-01
32,2020-01-01,Тверская область,2020-04-01
747,2014-01-01,Приморский край,2014-11-01
532,2014-01-01,Ставропольский край,2014-11-01
42,2020-01-01,Белгородская область,2020-04-01
11,2020-01-01,Брянская область,2020-04-01
29,2020-01-01,Владимирская область,2020-04-01
161,2020-01-01,Волгоградская область,2020-04-01
73,2020-01-01,Вологодская область,2020-04-01
74,2020-01-01,Воронежская область,2020-04-01
230,2020-01-01,Нижегородская область,2020-04-01
281,2020-01-01,Краснодарский край,2020-04-01
290,2020-01-01,Приморский край,2020-04-01
270,2020-01-01,Ставропольский край,2020-04-01
122,2020-01-01,Хабаровский край,2020-04-01
1222,2014-01-01,Республика Крым,2014-11-01
12,2014-01-01,Ненецкий АО,2014-11-01
1040,2014-01-01,Ханты-Мансийский АО,2014-11-01
201,2014-01-01,Архангельская область,2014-11-01
467,2014-01-01,Ямало-Ненецкий АО,2014-11-01
523,2014-01-01,Хабаровский край,2014-11-01
86,2014-01-01,г. Севастополь,2014-11-01
1185,2014-01-01,Кемеровская область-Кузбасс,2014-11-01
172,2014-01-01,Амурская область,2014-11-01
999,2014-01-01,Тюменская область,2014-11-01
1174,2014-01-01,Алтайский край,2014-11-01
925,2014-01-01,Краснодарский край,2014-11-01
280,2014-01-01,Тверская область,2014-11-01
301,2014-01-01,Калужская область,2014-11-01
223,2014-01-01,Брянская область,2014-11-01
351,2014-01-01,Владимирская область,2014-11-01
497,2014-01-01,Волгоградская область,2014-11-01
1609,2014-01-01,Нижегородская область,2014-11-01
327,2014-01-01,Вологодская область,2014-11-01
470,2014-01-01,Воронежская область,2014-11-01
355,2014-01-01,Астраханская область,2014-11-01
101,2014-01-01,Белгородская область,2014-11-01
1543,2014-01-01,Самарская область,2014-11-01
610,2014-01-01,Курганская область,2014-11-01
413,2014-01-01,Ивановская область,2014-11-01
405,2014-01-01,Калининградская область,2014-11-01
505,2014-01-01,Мурманская область,2014-11-01
144,2014-01-01,Новгородская  область,2014-11-01
1951,2014-01-01,Новосибирская область,2014-11-01
490,2014-01-01,Кировская область,2014-11-01
128,2014-01-01,Костромская область,2014-11-01
569,2014-01-01,Ленинградская область,2014-11-01
196,2014-01-01,Липецкая область,2014-11-01
3736,2014-01-01,Московская область,2014-11-01
217,2014-01-01,Тамбовская область,2014-11-01
163,2014-01-01,Магаданская область,2014-11-01
6077,2014-01-01,г. Москва,2014-11-01
65,2014-01-01,Курская область,2014-11-01
5286,2014-01-01,г. Санкт-Петербург,2014-11-01
163,2014-01-01,Псковская область,2014-11-01
1090,2014-01-01,Ростовская область,2014-11-01
